wafer,polymer,treatment,pre_count,post_count,matched_count,process_time
w85,Acrylate,H2O2,50.0,52.0,45.0,2.0
w84,Acrylate,KOH,43.0,36.0,26.0,3.2
w83,Acrylate,SPT,105.0,124.0,91.0,3.1
w86,Acrylate,pentane,98.0,114.0,85.0,4.1
w82,Acrylate,water,150.0,147.0,131.0,3.6
w91,Epoxy,H2O2,213.0,142.0,112.0,7.6
w90,Epoxy,KOH,239.0,216.0,205.0,6.8
w89,Epoxy,SPT,69.0,62.0,59.0,1.0
w92,Epoxy,pentane,351.0,302.0,279.0,8.2
w88,Epoxy,water,89.0,62.0,60.0,0.9
w64,ABS,H2O2,38.0,35.0,25.0,1.2
w65,ABS,KOH,33.0,5.0,4.0,1.0
w66,ABS,SPT,74.0,45.0,32.0,2.5
w67,ABS,pentane,120.0,113.0,92.0,9.7
w63,ABS,water,62.0,49.0,42.0,2.3
w79,EVA,H2O2,72.0,67.0,51.0,4.8
w78,EVA,KOH,79.0,79.0,67.0,5.2
w77,EVA,SPT,55.0,48.0,42.0,4.8
w80,EVA,pentane,32.0,35.0,28.0,4.1
w76,EVA,water,60.0,70.0,50.0,9.6
w10,LDPE,H2O2,,,,
w13,LDPE,H2O2,268.0,221.0,181.0,7.0
w02b,LDPE,KOH,180.0,183.0,148.0,11.6
w04,LDPE,SPT,154.0,163.0,135.0,11.5
w03,LDPE,pentane,,,,
w18,LDPE,pentane,417.0,424.0,369.0,27.7
w02a,LDPE,water,148.0,151.0,122.0,11.0
w24,PA6,H2O2,202.0,251.0,159.0,3.7
w20,PA6,HCl,207.0,40.0,26.0,6.8
w19,PA6,KOH,128.0,190.0,101.0,3.8
w21,PA6,KOH,,,,
w25,PA6,SPT,98.0,103.0,84.0,2.4
w23,PA6,pentane,366.0,387.0,312.0,21.3
w22,PA6,water,484.0,476.0,361.0,28.6
w52,PC,H2O2,26.0,24.0,11.0,0.4
w54,PC,KOH,22.0,28.0,19.0,0.4
w53,PC,SPT,25.0,30.0,14.0,0.7
w55,PC,pentane,91.0,86.0,71.0,7.3
w51,PC,water,137.0,130.0,95.0,4.1
w08,PET,H2O2,,,,
w17,PET,H2O2,239.0,232.0,173.0,14.5
w31a,PET,H2O2,,,,
w05,PET,KOH,253.0,215.0,129.0,10.4
w16,PET,SPT,220.0,262.0,179.0,7.5
w15,PET,pentane,416.0,417.0,322.0,23.7
w11,PET,water,367.0,403.0,324.0,12.7
w70,PMMA,H2O2,12.0,21.0,1.0,28.8
w74,PMMA,H2O2,,,,
w72,PMMA,KOH,96.0,259.0,23.0,18.7
w71,PMMA,SPT,150.0,190.0,63.0,14.3
w73,PMMA,pentane,170.0,178.0,63.0,12.8
w69,PMMA,water,18.0,15.0,7.0,0.7
w47,PP,H2O2,43.0,40.0,25.0,0.9
w45,PP,KOH,315.0,148.0,114.0,5.1
w49,PP,KOH,,,,
w48,PP,SPT,37.0,29.0,27.0,1.5
w50,PP,pentane,67.0,65.0,54.0,2.3
w46,PP,water,61.0,57.0,48.0,2.2
w35,PS,H2O2,,,,
w97,PS,H2O2,633.0,933.0,543.0,34.6
w34,PS,KOH,16.0,20.0,8.0,0.7
w38,PS,KOH,,,,
w32,PS,SPT,67.0,69.0,53.0,2.0
w33,PS,pentane,,,,
w36,PS,pentane,,,,
w96,PS,pentane,135.0,41.0,36.0,0.6
w37,PS,water,34.0,13.0,9.0,1.7
w95,PVC,H2O2,75.0,209.0,46.0,2.6
w39,PVC,KOH,,,,
w100,PVC,KOH,157.0,25.0,18.0,5.2
w44,PVC,SPT,146.0,483.0,92.0,17.6
w40,PVC,pentane,,,,
w99,PVC,pentane,183.0,168.0,129.0,20.0
w94,PVC,water,22.0,11.0,6.0,0.7
w58,TPU,H2O2,21.0,36.0,9.0,1.5
w59,TPU,KOH,23.0,37.0,11.0,1.4
w60,TPU,SPT,38.0,41.0,28.0,3.4
w61,TPU,pentane,108.0,89.0,63.0,8.7
w57,TPU,water,42.0,38.0,30.0,2.8
