,wafer,polymer,state,file,label_x,area_x,perimeter_x,major_axis_length_x,minor_axis_length_x,mean_intensity_x,centroid-0_x,centroid-1_x,bbox-0_x,bbox-1_x,bbox-2_x,bbox-3_x,ID_post,label_y,area_y,perimeter_y,major_axis_length_y,minor_axis_length_y,mean_intensity_y,centroid-0_y,centroid-1_y,bbox-0_y,bbox-1_y,bbox-2_y,bbox-3_y
11.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,12.0,1281.0,157.3380951166243,59.98610166455054,28.317326680878633,156.07416081186574,899.0,2611.0,874.0,2589.0,924.0,2635.0,10.0,11.0,4109.0,242.89444430272832,81.55235840177039,64.6203456425308,197.21781455341932,819.0,596.0,789.0,555.0,854.0,635.0
12.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,13.0,868.0,108.8111831820431,37.492690007611216,29.698137911728313,198.18548387096774,943.0,1752.0,926.0,1738.0,965.0,1768.0,12.0,13.0,992.0,124.42640687119285,41.66325778407531,31.408829505012125,160.81048387096774,879.0,2060.0,861.0,2045.0,900.0,2076.0
13.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,14.0,1028.0,146.71067811865476,56.17146780444199,25.44115333887204,173.63132295719845,1091.0,1620.0,1077.0,1596.0,1107.0,1648.0,13.0,14.0,741.0,100.32590180780451,31.938471830188178,29.65015554539061,150.24561403508773,887.0,722.0,872.0,707.0,904.0,738.0
14.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,15.0,338.0,67.35533905932738,24.25123686903178,17.904071545036228,143.92603550295857,1203.0,133.0,1195.0,122.0,1216.0,144.0,15.0,16.0,897.0,112.22539674441619,38.39054719221389,29.97451119857026,171.99108138238574,933.0,1763.0,915.0,1748.0,955.0,1779.0
15.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,16.0,570.0,98.5685424949238,38.77730257433536,19.097545648870064,157.26666666666668,1209.0,1754.0,1195.0,1739.0,1225.0,1771.0,16.0,17.0,1166.0,156.61017305526642,58.15623818947983,27.79585159232994,166.4408233276158,1082.0,1631.0,1066.0,1606.0,1099.0,1660.0
16.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,17.0,413.0,74.76955262170047,25.139824914641082,21.081236189001768,169.41162227602905,1296.0,486.0,1286.0,475.0,1309.0,499.0,17.0,18.0,410.0,75.01219330881976,27.543127778146843,19.132632106021113,144.66341463414633,1204.0,146.0,1194.0,134.0,1217.0,159.0
17.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,18.0,379.0,70.76955262170047,24.159492279114087,20.056743778785854,179.29287598944592,1319.0,653.0,1308.0,643.0,1331.0,665.0,18.0,19.0,450.0,78.18376618407356,26.768223348526632,21.643246521674183,159.08666666666667,1295.0,499.0,1284.0,487.0,1307.0,513.0
18.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,19.0,1447.0,147.39696961967,44.791901499396985,42.38751615402788,179.00691085003456,1334.0,904.0,1313.0,882.0,1354.0,927.0,20.0,21.0,2709.0,210.40916292848974,78.6177744903185,44.59559851129248,173.5765965300849,1343.0,1432.0,1306.0,1406.0,1382.0,1457.0
19.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,20.0,2120.0,196.99494936611666,67.70266844416575,41.472214607321916,158.09858490566037,1353.0,1420.0,1323.0,1395.0,1384.0,1443.0,21.0,22.0,1972.0,187.095454429505,59.612733321002224,43.99313614119656,165.95486815415822,1328.0,913.0,1307.0,880.0,1352.0,941.0
20.0,w85,2c,pre,/run/media/nibor/data_ext/quantDigest_imageData/tif_pre/w85_pre.tif,21.0,2347.0,183.53910524340094,61.755944562232884,49.01633652996797,208.25607158074138,1469.0,856.0,1440.0,833.0,1498.0,881.0,22.0,23.0,2605.0,191.19595949289334,64.09190016568566,52.063478452597494,200.84990403071018,1465.0,870.0,1434.0,845.0,1495.0,897.0
